predictor,n,ols_slope,ols_r2,lowess_r2,delta_r2
enrol_primary,1846,0.1289344398426962,0.030632675346694893,0.1966103053520919,0.165977630005397
enrol_secondary,1661,-0.130731967586706,0.16320110715783176,0.23267270143251706,0.0694715942746853
enrol_tertiary,1574,-0.11629682781199609,0.16073660313625338,0.18994969821647334,0.029213095080219964
mean_years_schooling,2175,-1.4931044249174272,0.27021799859242246,0.3882869420022017,0.11806894340977925
edu_expenditure_gdp,1618,-1.1880916837082922,0.049532704206567524,0.03524073662093474,-0.014291967585632781
gdp_per_capita_ppp,2192,-0.00016059745760885473,0.1886737036498809,0.23369626259072818,0.04502255894084728
