K,wcss,silhouette,calinski_harabasz,gap,gap_se
2,635.7423055914169,0.3924679231437364,138.4012339647012,0.9640137388511025,0.030484140382110076
3,518.3096911268855,0.25219718778280165,102.94348386886202,1.0397311992479406,0.03133944290669487
4,444.41384468660254,0.24743700275226618,88.58675663699033,1.1005834707509115,0.027885940017546004
5,400.3404301714957,0.22487208734659456,77.76060130803879,1.1252015946389395,0.02787559025049364
6,362.3504219595676,0.2231727930936606,71.6823131388549,1.1644391786246207,0.024434805060919128
7,336.38720788832467,0.202678298334979,66.00431665943648,1.180206507385516,0.030357945631769304
8,314.63527631404696,0.19881266589106122,61.6786670120216,1.1919095649695004,0.03131396613531502
9,292.13478435436264,0.2199455188898529,59.28115697442695,1.2271576497310157,0.032182923226679074
10,276.6042437457374,0.18836904467850885,56.28022181302983,1.2320962163507447,0.02673405371254044
