iso3,country_name,region_name,income_level_name,cluster_kmeans_k3,cluster_kmeans_k2,cluster_kmeans_k4,cluster_ward_k3
RUS,Russian Federation,Europe & Central Asia,High income,2,1,3,2
RWA,Rwanda,Sub-Saharan Africa ,Low income,0,0,0,0
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,2,1,3,2
SEN,Senegal,Sub-Saharan Africa ,Lower middle income,0,0,0,0
SGP,Singapore,East Asia & Pacific,High income,2,1,3,2
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,0,0,0,0
SLE,Sierra Leone,Sub-Saharan Africa ,Low income,0,0,0,0
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,1,1,1,2
SMR,San Marino,Europe & Central Asia,High income,2,1,3,2
SRB,Serbia,Europe & Central Asia,Upper middle income,1,1,1,1
STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,1,1,2,2
SUR,Suriname,Latin America & Caribbean ,Upper middle income,1,1,1,1
SVK,Slovak Republic,Europe & Central Asia,High income,2,1,3,2
SVN,Slovenia,Europe & Central Asia,High income,2,1,3,2
SWE,Sweden,Europe & Central Asia,High income,2,1,3,2
SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,1,0,1,1
SYC,Seychelles,Sub-Saharan Africa ,High income,2,1,2,2
TCD,Chad,Sub-Saharan Africa ,Low income,0,0,0,0
TGO,Togo,Sub-Saharan Africa ,Low income,0,0,0,0
THA,Thailand,East Asia & Pacific,Upper middle income,1,1,1,1
TJK,Tajikistan,Europe & Central Asia,Lower middle income,1,0,1,1
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,0,0,0,0
TON,Tonga,East Asia & Pacific,Upper middle income,1,0,1,1
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1,1,1,2
TUR,Turkiye,Europe & Central Asia,Upper middle income,1,1,3,2
TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,0,0,0,0
UKR,Ukraine,Europe & Central Asia,Upper middle income,1,1,1,1
URY,Uruguay,Latin America & Caribbean ,High income,2,1,3,2
USA,United States,North America,High income,2,1,3,2
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,1,0,1,1
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,2,1,2,2
VNM,Viet Nam,East Asia & Pacific,Lower middle income,1,0,1,1
VUT,Vanuatu,East Asia & Pacific,Lower middle income,0,0,0,0
WSM,Samoa,East Asia & Pacific,Upper middle income,1,1,2,2
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,2,1,2,2
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,1,0,1,0
