estimator,spec,kind,variable,value,std_error,tstat,pvalue,ci_low,ci_high
RE,A,coef,Intercept,47.44744667819612,8.931799207562442,5.312193610221664,1.235183044734356e-07,29.92821397540379,64.96667938098845
RE,A,coef,mean_years_schooling,-0.6882540046080395,0.28511664585085295,-2.413938346370949,0.015892588804237606,-1.2474946178398616,-0.12901339137621737
RE,A,coef,enrol_secondary,0.001173083757413116,0.019719857274326843,0.0594874365008892,0.9525712868461824,-0.03750633126596462,0.039852498780790856
RE,A,coef,log_gdp_per_capita_ppp,0.09689841975374779,1.0425804234754295,0.09294095455076555,0.9259620834409277,-1.9480657163384412,2.1418625558459365
RE,A,coef,log_population,-0.4110879216419415,0.3158128494832703,-1.3016820636480095,0.19321212275824085,-1.0305374493412198,0.20836160605733678
RE,A,coef,urban_population_pct,-0.011931760821683233,0.05811354149604591,-0.20531808102755325,0.8373496869368195,-0.12591827495990865,0.10205475331654218
RE,A,fit,n_obs,1642.0,,,,,
RE,A,fit,n_countries,153.0,,,,,
RE,A,fit,n_time_periods,34.0,,,,,
RE,A,fit,rsquared,0.46551541332298096,,,,,
RE,A,fit,rsquared_within,0.1792082336113071,,,,,
RE,A,fit,rsquared_between,0.19754057083705023,,,,,
RE,A,fit,rsquared_overall,0.19439622167645842,,,,,
RE,A,fit,theta_mean,0.818291726526089,,,,,
RE,B,coef,Intercept,47.59607309801503,12.809503321778749,3.7156845119117206,0.00021021630732076524,22.469303505826407,72.72284269020366
RE,B,coef,mean_years_schooling,-0.6382375549522898,0.2656714793832806,-2.402356310259082,0.01641270176810594,-1.1593714257972225,-0.11710368410735716
RE,B,coef,enrol_secondary,-0.001569889721373184,0.020710784800961227,-0.07580059068067388,0.9395880185352055,-0.04219559586271731,0.03905581641997095
RE,B,coef,log_gdp_per_capita_ppp,-1.3362277585544244,1.1260359429360376,-1.1866652809237426,0.23555063810433685,-3.54502891031897,0.8725733932101212
RE,B,coef,log_population,-0.03848116324390785,0.4692806335462464,-0.08200032239369118,0.9346575749841333,-0.9590091538292171,0.8820468273414015
RE,B,coef,urban_population_pct,0.01798574249620042,0.06227570684450779,0.28880832362301184,0.7727686171286909,-0.10417257213666878,0.1401440571290696
RE,B,coef,agri_value_added_gdp,-0.008170963764099403,0.08215511927617199,-0.09945775547634418,0.920788333644821,-0.1693241873525138,0.15298225982431501
RE,B,coef,manu_value_added_gdp,-0.03469994101161421,0.07449214257480556,-0.46582014977980085,0.6414129691525949,-0.18082168015221428,0.11142179812898585
RE,B,coef,services_value_added_gdp,0.12053381346530964,0.0556405213631822,2.1662955434682156,0.030448228006938027,0.011390896276246426,0.22967673065437286
RE,B,coef,trade_openness,0.02000173099643967,0.010318239688940311,1.9384828807455101,0.05275478506146314,-0.00023824433657561664,0.04024170632945495
RE,B,coef,gov_expenditure_gdp,-0.11630262199538843,0.06734861537538316,-1.7268747300467686,0.08439938710209116,-0.24841181455190325,0.015806570561126387
RE,B,fit,n_obs,1520.0,,,,,
RE,B,fit,n_countries,134.0,,,,,
RE,B,fit,n_time_periods,34.0,,,,,
RE,B,fit,rsquared,0.5047207225039243,,,,,
RE,B,fit,rsquared_within,0.22668390465586463,,,,,
RE,B,fit,rsquared_between,0.20875129164145856,,,,,
RE,B,fit,rsquared_overall,0.24920308763762355,,,,,
RE,B,fit,theta_mean,0.810961671813068,,,,,
