cluster,label_proposed,n_countries,income_LIC_n,income_LMC_n,income_UMC_n,income_HIC_n,income_NC_n,region_EAP_n,region_ECA_n,region_LAC_n,region_MENAAP_n,region_MENA_n,region_NA_n,region_SAS_n,region_SSA_n,mean_years_schooling_mean,mean_years_schooling_p25,mean_years_schooling_p50,mean_years_schooling_p75,log_gdp_per_capita_ppp_mean,log_gdp_per_capita_ppp_p25,log_gdp_per_capita_ppp_p50,log_gdp_per_capita_ppp_p75,enrol_secondary_mean,enrol_secondary_p25,enrol_secondary_p50,enrol_secondary_p75,agri_value_added_gdp_mean,agri_value_added_gdp_p25,agri_value_added_gdp_p50,agri_value_added_gdp_p75,manu_value_added_gdp_mean,manu_value_added_gdp_p25,manu_value_added_gdp_p50,manu_value_added_gdp_p75,services_value_added_gdp_mean,services_value_added_gdp_p25,services_value_added_gdp_p50,services_value_added_gdp_p75,urban_population_pct_mean,urban_population_pct_p25,urban_population_pct_p50,urban_population_pct_p75,gini_n,gini_mean,gini_p25,gini_p50,gini_p75
0,Low-development / Sub-Saharan-led,40,16,23,0,0,1,7,0,0,2,0,0,4,27,4.2192709118675,2.926363838875,4.4681605617999995,5.43704138725,8.085079861999342,7.68129799626353,8.018136750842242,8.504831272496462,46.058656886179925,36.678827931319674,43.78098487854004,56.55523308266873,23.652210390659047,18.883918255781186,22.471058276017366,27.135590808411024,9.896014488784811,7.113688774832677,9.19187478363842,11.708843781550874,46.45238460644235,41.6389821721867,44.797588348719145,51.049798179543565,35.2537005827278,25.169744240488086,32.227593137320035,45.84167303499535,36,38.23833333333333,34.3375,38.349999999999994,42.2
1,Middle-development / Kuznets transition,59,0,19,38,2,0,11,14,17,6,0,0,2,9,8.851069499889643,7.895558716249999,8.7895000458,10.4890125025,9.365424759433218,9.00408575360225,9.45878677125648,9.74627623173467,85.18357003692583,77.34577138567934,87.89116185982866,93.76917516903208,9.87399821455945,6.086974975604301,9.13544216257394,11.882786383636411,13.006368610096958,7.6289013969442685,12.631041717879407,16.977775292490612,53.775609342370345,49.3932415290456,53.212602551638426,58.58672505750679,54.54142048281241,41.20399514140789,55.207774325319306,68.04254943855574,54,39.04769253380365,34.11666666666667,37.825,44.3
2,High-development / mature economies,68,0,2,8,58,0,8,34,12,10,0,2,0,2,11.356435118948532,10.225073873874999,11.812741179500001,12.65315010075,10.602187101049804,10.269420624261937,10.637453370832105,10.984371442078487,105.32113840277395,98.2688743863787,103.3204566955566,111.47569860730854,2.3650715614121376,1.020975648415966,1.9131584049976245,3.4099590494268646,11.756799009130322,7.442674589657728,11.14885703769829,15.411351992459547,63.38213027195451,58.24273863189841,64.09878503314795,69.84599744283926,76.31459931421855,67.08937140415046,79.75801337448306,87.70076610033857,53,34.72034815813117,30.3875,33.114285714285714,36.56
