model,cluster,n,feature,mean_abs_shap,mean_signed_shap
xgb,1,105,cluster_kmeans_k3,0.45485788583755493,-0.4492350220680237
xgb,2,188,mean_years_schooling,2.349783182144165,-1.950462818145752
xgb,2,188,enrol_secondary,1.4924858808517456,-1.4647246599197388
xgb,2,188,log_gdp_per_capita_ppp,2.0065512657165527,-1.710345983505249
xgb,2,188,log_population,0.3563424348831177,0.15607860684394836
xgb,2,188,urban_population_pct,0.4649580419063568,0.11815565079450607
xgb,2,188,agri_value_added_gdp,0.42767399549484253,0.38211920857429504
xgb,2,188,manu_value_added_gdp,0.23655542731285095,0.05784910172224045
xgb,2,188,services_value_added_gdp,0.7802947163581848,0.5138166546821594
xgb,2,188,trade_openness,1.2132854461669922,-0.20089226961135864
xgb,2,188,gov_expenditure_gdp,0.9209365844726562,-0.3909134864807129
xgb,2,188,inflation_cpi,0.14656426012516022,-0.0003613271692302078
xgb,2,188,unemployment_rate,0.19544625282287598,-0.08073121309280396
xgb,2,188,cluster_kmeans_k3,0.3872726857662201,0.3872726857662201
